customer_id,rfm_cell
DM-130157,555
GD-145907,555
KN-164507,555
IG-150857,555
BE-113357,555
RR-193157,555
TA-213857,555
GB-145307,555
DL-129257,555
MS-175307,555
CS-121307,555
ZC-219107,555
JJ-157607,555
NG-184307,555
KD-164957,555
DL-133307,555
BW-110657,555
JC-153407,555
RE-194057,555
BP-112307,555
RW-195407,555
CJ-118757,555
CD-119807,555
MG-176807,555
SZ-200357,555
EM-139607,555
CM-124457,555
LW-172157,555
JK-153257,555
TB-216257,555
AO-108107,555
TB-215207,555
GM-146807,555
JR-162107,555
DK-130907,555
KH-163607,555
AH-100757,555
TC-214757,554
HW-149357,554
DW-131957,554
JW-152207,554
AF-108707,554
RD-198107,554
NR-185507,554
VM-216857,554
BF-109757,554
RM-193757,554
HG-148457,554
TG-213107,554
EH-137657,554
MJ-177407,554
BT-113957,554
CC-126107,554
EJ-1415592,554
TD-209957,553
NC-185357,553
HA-149207,553
TC-209807,553
RF-198407,553
JR-157007,553
DW-135857,553
HM-149807,553
MP-174707,552
RH-195107,552
VW-217757,552
JH-159857,552
BH-117107,545
PS-189707,545
TC-211457,545
JS-156857,545
BF-110807,545
PP-189557,545
CG-125207,545
JG-1580592,545
ME-173207,545
JD-1601592,544
LP-170807,544
BB-115457,544
LC-169607,544
BO-114257,544
FC-142457,544
KC-166757,544
PF-1922592,544
LR-170357,544
DB-135557,544
BW-112007,544
DB-132107,544
KM-166607,544
ND-184607,544
MS-178307,544
LH-171557,544
CS-1249092,543
AZ-107507,543
NP-183257,543
JG-151607,543
NM-184457,543
CG-1204092,543
JH-1598592,543
TN-2104092,543
GH-144107,543
EJ-137207,543
JP-154607,543
PA-190607,543
JW-160757,543
RH-1955592,543
MO-175007,542
SF-200657,542
JF-1549092,542
LH-167507,541
JH-161807,541
BP-111557,541
TB-215957,541
JB-1604592,535
CC-126857,535
CS-123557,535
ST-205307,535
TB-214007,535
DK-133757,534
PH-1879092,534
SS-201407,534
JP-1613592,534
KM-163757,534
GP-1474092,534
LM-170657,534
AC-104507,533
CM-118157,533
JK-153707,533
HA-1490592,533
AH-101957,533
RB-1936092,533
JW-1595592,532
HW-1493592,532
GB-1453092,532
SS-205907,532
PV-189857,532
BG-117407,532
JM-155357,532
CC-122207,532
MH-174407,532
DK-132257,532
SG-200807,532
JK-156257,532
TT-2126592,532
TH-211007,532
AA-103757,532
CK-1232592,531
AF-1087092,531
RF-1984092,531
AB-100607,531
AR-105707,525
GK-1462092,525
CB-125357,525
MP-181757,524
TB-2105592,523
DB-136157,523
RP-1939092,523
DN-1369092,523
JO-151457,523
AJ-1096092,522
MS-1736592,522
OT-1873092,521
GA-147257,521
TT-2107092,521
MO-178007,521
GT-147557,521
LT-167657,521
DH-1307592,521
KW-164357,521
GM-1445592,521
JW-1607592,515
JG-153107,513
EN-137807,513
MG-1820592,513
BF-1097592,513
SP-208607,512
JL-1583592,512
BP-110957,512
MM-180557,512
RP-198557,512
SM-209507,512
EB-139757,511
MC-1727592,511
JC-1577592,511
SC-2023092,511
JH-158207,455
MD-178607,455
VS-218207,455
KN-163907,455
RK-193007,455
SC-200507,455
LS-172307,455
BE-114557,455
KA-165257,455
BW-1111092,455
BM-111407,455
DR-129407,455
LT-171107,455
HJ-148757,455
NC-186257,455
AB-101057,455
MG-178757,455
TH-212357,455
DP-131057,455
MR-175457,455
RB-193307,455
JM-156557,455
CK-125957,455
NF-183857,454
PF-191657,454
BG-110357,454
MP-179657,454
CM-123857,454
LD-170057,454
AB-102557,454
SW-202757,454
TT-212207,454
NC-1862592,454
TZ-214457,454
FP-143207,454
BO-113507,454
JE-161657,453
CR-125807,453
MG-176957,453
FM-142907,453
JE-156107,453
AJ-109457,453
JS-158807,453
RD-199307,453
SG-206057,453
VG-217907,453
KB-1660092,453
DB-132707,452
CY-127457,452
VM-218357,452
SM-200057,452
TP-215657,452
PB-191057,445
JB-159257,445
DB-136607,445
MW-182207,445
JF-154907,445
CM-122357,445
DW-134807,445
PB-192107,445
SR-207407,445
NC-183407,445
NL-1831092,445
SV-209357,445
AA-106457,444
SO-203357,444
CC-121457,444
MC-181007,444
TP-211307,444
DP-133907,444
LC-168707,444
EM-140957,444
KH-163307,444
XP-218657,444
CM-121607,443
HK-1489092,443
EJ-141557,443
RS-194207,443
EM-141407,443
CW-119057,443
SW-202457,443
LS-172457,443
DB-129707,443
KT-164657,443
VF-217157,442
DB-134057,442
NF-185957,442
SS-208757,442
CL-118907,442
AB-101507,442
JE-157457,442
PS-190457,441
CA-119657,441
